nome,nome,votos
EMERSON DA SILVA SANTOS,EMERSON DA SILVA SANTOS,36.99999999999999
GERALDO SILVA DOS SANTOS,GERALDO SILVA DOS SANTOS,383.0
CARLOS CESAR CORREIA DE MESSIAS,CARLOS CESAR CORREIA DE MESSIAS,26448.000000000007
IDESIO LUIS FRANKE,IDESIO LUIS FRANKE,9895.999999999998
LEONARDO CUNHA DE BRITO,LEONARDO CUNHA DE BRITO,20875.999999999993
MARCELO FEITOSA DE ARAÚJO,MARCELO FEITOSA DE ARAÚJO,1025.0
RAIMUNDO ANGELIM VASCONCELOS,RAIMUNDO ANGELIM VASCONCELOS,39843.99999999999
RAMAO VIEIRA DE OLIVEIRA,RAMAO VIEIRA DE OLIVEIRA,1994.0000000000007
REGINA AMELIA D ALENCAR LINO,REGINA AMELIA D ALENCAR LINO,3842.0
ROSELI COSTA,ROSELI COSTA,1913.0000000000005
SEBASTIÃO SIBÁ MACHADO OLIVEIRA,SEBASTIÃO SIBÁ MACHADO OLIVEIRA,18395.000000000015
MOISES DINIZ LIMA,MOISES DINIZ LIMA,13738.0
ALAN RICK MIRANDA,ALAN RICK MIRANDA,17902.999999999985
JUAREZ PEDROSA CAVALCANTE,JUAREZ PEDROSA CAVALCANTE,515.0
RAIMUNDO VAZ DE AZEVEDO,RAIMUNDO VAZ DE AZEVEDO,11229.0
JOSÉ LUIS SCHAFER,JOSÉ LUIS SCHAFER,11397.00000000001
FRANCE SPYM PINTRO SOSTER,FRANCE SPYM PINTRO SOSTER,5870.999999999999
JOSE AFONSO VASCONCELOS FERNADES,JOSE AFONSO VASCONCELOS FERNADES,3343.000000000001
FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,665.0000000000001
HILÁRIO JOSÉ DO NASCIMENTO,HILÁRIO JOSÉ DO NASCIMENTO,837.9999999999998
MARIA JOICILENE SOUZA SILVA NOBRE,MARIA JOICILENE SOUZA SILVA NOBRE,1199.0
SHIRLEY TORRES DE ARAÚJO,SHIRLEY TORRES DE ARAÚJO,1377.0000000000002
VALDETE DE SOUZA,VALDETE DE SOUZA,668.0000000000002
FRANCISCO CARLOS OLIVEIRA DE LIMA,FRANCISCO CARLOS OLIVEIRA DE LIMA,10306.0
JOAQUIM LIRA DE CARVALHO,JOAQUIM LIRA DE CARVALHO,962.0000000000002
JOSÉ AUGUSTO LEANDRO RODRIGUES,JOSÉ AUGUSTO LEANDRO RODRIGUES,2011.0000000000005
MARIA TERESA GAUNA,MARIA TERESA GAUNA,145.0
NORMANDO RODRIGUES SALES,NORMANDO RODRIGUES SALES,6450.999999999997
MARIA SOCORRO SOARES DE OLIVEIRA,MARIA SOCORRO SOARES DE OLIVEIRA,662.9999999999998
SAULO DE FREITAS RIBEIRO,SAULO DE FREITAS RIBEIRO,525.0000000000001
SEBASTIÃO ALVES RODRIGUES MANCHINERY,SEBASTIÃO ALVES RODRIGUES MANCHINERY,1135.0000000000005
DEODATO NUNES DE FRANÇA,DEODATO NUNES DE FRANÇA,3487.0000000000005
FRANCISCO CARLOS OLIVEIRA DA CRUZ,FRANCISCO CARLOS OLIVEIRA DA CRUZ,1153.9999999999998
MARFIZA DE LIMA GALVÃO,MARFIZA DE LIMA GALVÃO,17300.000000000004
WHERLES FERNANDES DA ROCHA,WHERLES FERNANDES DA ROCHA,23466.000000000015
EDSON BRAGA RODRIGUES,EDSON BRAGA RODRIGUES,4518.000000000003
JOSÉ VIEIRA DE FARIAS,JOSÉ VIEIRA DE FARIAS,4104.000000000003
FRANCISCO NAZARENO DA SILVA,FRANCISCO NAZARENO DA SILVA,923.9999999999998
LUIZETE SILVA E SILVA,LUIZETE SILVA E SILVA,227.00000000000006
MARIA NAZARE PEREIRA LIMA DE CARVALHO,MARIA NAZARE PEREIRA LIMA DE CARVALHO,244.99999999999991
FLAVIANO FLÁVIO BAPTISTA DE MELO,FLAVIANO FLÁVIO BAPTISTA DE MELO,18371.999999999993
ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA,ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA,12126.0
VANDA DENIR MILANI NOGUEIRA,VANDA DENIR MILANI NOGUEIRA,13610.000000000007
ILDERLEI SOUZA RODRIGUES CORDEIRO,ILDERLEI SOUZA RODRIGUES CORDEIRO,13431.000000000002
OSVALDO ALVES RIBEIRO NETO,OSVALDO ALVES RIBEIRO NETO,6707.000000000003
JOSÉ RIBAMAR COSTA,JOSÉ RIBAMAR COSTA,2354.0
CLAUDENOR MAGALHÃES SANTANA DE SOUZA,CLAUDENOR MAGALHÃES SANTANA DE SOUZA,205.99999999999994
LEILANE RIBEIRO DE OLIVEIRA,LEILANE RIBEIRO DE OLIVEIRA,2866.0
JOSE AUGUSTO BATISTA DE AGUIAR,JOSE AUGUSTO BATISTA DE AGUIAR,205.00000000000003
RUY MEDEIROS DE ARAÚJO BIRICO,RUY MEDEIROS DE ARAÚJO BIRICO,956.0000000000001
LUIZ ANUTE DOS SANTOS,LUIZ ANUTE DOS SANTOS,4717.0
ANA PAULA MORAIS DE HOLANDA,ANA PAULA MORAIS DE HOLANDA,14.999999999999998
JÉSSICA ROJAS SALES,JÉSSICA ROJAS SALES,20339.000000000007
PAULO ROBERTO CHAGAS SANTOS,PAULO ROBERTO CHAGAS SANTOS,1755.0000000000007
JOSÉ JÚNIOR NASCIMENTO SILVA,JOSÉ JÚNIOR NASCIMENTO SILVA,997.0000000000002
PAULO SÉRGIO DA SILVA FALCÃO,PAULO SÉRGIO DA SILVA FALCÃO,1751.9999999999998
VALBERTSON DE BRITO LYRA SANTOS,VALBERTSON DE BRITO LYRA SANTOS,2573.000000000001
MARIA DA GLÓRIA SANTOS OLIVEIRA,MARIA DA GLÓRIA SANTOS OLIVEIRA,109.00000000000004
