nome,votos
ANTONIA LUCILEIA CRUZ RAMOS CAMARA,17348.07540432521
DEODATO NUNES DE FRANÇA,2984.454404315406
EDSON FIRMINO DE PAULA,949.1353099957632
ELISABETH APARECIDA GARCIA RODRIGUES,795.1637873397788
FLAVIANO FLAVIO BAPTISTA DE MELO,26237.41006221346
FRANCISCO ALVES VIEIRA,2410.3679573970962
FRANCISCO CARLOS DE OLIVEIRA DE LIMA,1965.6566082331642
FRANCISCO JOSE BENICIO DIAS,1380.187669463448
JOSE ALVES DE MORAES,922.0487989738218
MARCIO MIGUEL BITTAR,39631.47052280086
MARIA DA ROCHA SEVERO,528.7131288045381
MAURICIO DINIZ LIMA,786.3859482036921
MIGUEL ARCANJO DE SOUZA CARNEIRO,978.5337163005204
RAIMUNDO NONATO DE CASTRO,3312.83807719962
SOLANGE MARIA PINHO PASCOAL,6928.050851484499
UAGLA BELMONT ALVES,1693.7476681091603
EDILBERTO AFONSO DE MORAES JUNIOR,8864.431641433333
FERNANDO MELO DA COSTA,15091.312754170971
GEHLEN DINIZ ANDRADE,4194.34382669671
GILSON GOMES DE OLIVEIRA,4472.423357237493
GLADSON DE LIMA CAMELI,77519.91072761726
HAROLDO ONOFRE DE ANDRADE E SILVA,4230.647494890971
HENRIQUE AFONSO SOARES LIMA,30580.990228114482
IDESIO LUIS FRANKE,13206.753997345542
JAIRO CASSIANO BARBOSA,6304.593448685931
LEONARDO CUNHA DE BRITO,23026.31445629916
MARCOS ANTONIO SILVA TORRES,5697.016043718467
MARIA PERPETUA DE ALMEIDA,37988.862853346545
MARIA ZILA FROTA BEZERRA DE OLIVEIRA,5451.081624935936
MARIUSA DE CARVALHO,3154.2656278616128
SEBASTIAO SIBA MACHADO OLIVEIRA,30296.175766188346
SIDNEY DIAS DE OLIVEIRA,4485.365030231084
TAUMATURGO LIMA CORDEIRO,39285.73489507939
VALDEMIR JANUARIO DE ALMEIDA,5428.511776642712
ALEXANDRE FLEMING VASQUES BASTOS,2208.8040684630423
FRANCISCO DE ASSIS MELO LIMA,603.8168218694527
LUCIA DE FATIMA MORAIS MARQUES,421.41699024129224
MARIA DAS GRACAS OLIVEIRA DE SOUZA,1252.711119179858
WELLINGTON DA SILVA,567.1867448703234
YURI PATRICE ROCHA DE MIRANDA,3972.0051687727937
ADA MERCEDES DE MELLO MARQUES LUZ,2273.9932279069853
ANTONIO CARLOS RAMOS,35408.9239664933
CELIA MARIA BARBOSA ROCHA,145382.29038088646
DAMASCO SILVA MEDEIROS,1624.9190010706495
GENALDO GAMA DOS SANTOS,976.0802255237335
JAFET RODRIGUES DOS SANTOS,1386.5457815427444
JOSEFA AMORIM DE BARROS,1212.6883139144356
JOSENILDO TENORIO DA SILVA,1095.0513709039742
JOSÉ FRANCISCO CERQUEIRA TENÓRIO,32357.139107825442
JOSÉ JOAQUIM BARROS VIEIRA SANDES,3181.2121923534296
JOSÉ MARINHO MUNIZ FALCÃO,5179.522835638235
JOÃO JOSÉ PEREIRA DE LYRA,96885.33039153257
JOÃO MENDES DA SILVA,2766.0240224542163
JOÃO SERGIO OLIVEIRA PEREIRA,1101.3009426244998
RICARDO GOMES LOURENÇO,1033.5388110863923
CLAUDIA ANICETO CAETANO PETUBA,5979.9704752419775
ELIAS BARROS DIAS,1118.673984967493
GILBERTO COUTINHO FREIRE,11605.35235395424
JOAQUIM BELTRÃO SIQUEIRA,69771.19507142367
JOSÉ JADSON ALVES DE MELO,1293.6018311962116
JOSÉ PINTO DE LUNA,14146.055790949229
JOSÉ RENAN VASCONCELOS CALHEIROS FILHO,121069.50690860348
MAURÍCIO QUINTELLA MALTA LESSA,53732.76169914863
PAULO FERNANDO DOS SANTOS,40978.19263833343
WELLINGTON RODRIGUES FRAGOSO,7000.704366970871
ALEXANDRE DE MELO TOLEDO,74347.30920418052
ARTHUR CESAR PEREIRA DE LIRA,62829.732533300274
FERNANDO JOSE REZENDE DE BARROS,5543.193816442099
HENRIQUETA EVA CARDEAL,3476.6563747127657
JOSE ROBSON ALVES DA SILVA,667.0774350622206
ARANILDO DE VASCONCELOS ELISIÁRIO,1875.8536649087357
GIVALDO DE SÁ GOUVEIA,91432.01137174698
JURANDIR BOIA ROCHA,14808.09221089359
RUI SOARES PALMEIRA,133176.33521202777
JOÃO CALDAS DA SILVA,31530.056184446585
JAMISON RODRIGUES DA SILVA,3708.7603424020376
IVAN GALDINO DA SILVA,3240.3946307832894
FABIO RANGEL NUNES DE OLIVEIRA,3982.8648023009137
JORGE VI LAMENHA LINS,18095.224683893837
MARCIO FERNANDO LESSA MAGALHÃES,3557.0886882647033
ROSEANE CAVALCANTE DE FREITAS,57969.57487323727
JOSÉ ALMIR BRITO DOS SANTOS,908.3766674582075
ANTONIO CARLOS DINIZ,3721.917950108622
ELCIO JOSE DE SOUZA FERREIRA,738.0156746427448
EVANDRO COSTA GAMA,11868.620930953211
JANETE MARIA GOES CAPIBERIBE,20121.797325642445
JOEVA DOS REIS SILVA,710.1145632614066
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,13840.273244241336
MARIA DALVA DE SOUZA FIGUEIREDO,14410.196617143769
ALUIZO ROBERTO CAVALCANTE DA SILVA,2365.430122595419
BARAQUE FAGUNDES DA SILVA,1793.0123328057698
CONCEIÇÃO CORREA MEDEIROS,8289.870683867837
DAVID SAMUEL ALCOLUMBRE TOBELEM,11023.474978458657
EDVALDO DE AZEVEDO SOUZA,2112.2602091075614
EVANDRO COSTA MILHOMEM,21668.925054314466
GIOVANNI TAVARES MACIEL FILHO,6372.380675125177
HILDEMAR SOUZA DE AZEVEDO PICANÇO,5607.785858091624
JUCERGIO MONTEIRO BENATHAR,2250.6734789521115
LUCIANO DOS SANTOS CARVALHO,5755.945044375503
LUIZ ANTONIO FERREIRA MARANHÃO,2356.268910750988
LUZIA BRITO GRUNHO,6892.971524805652
MANOEL CARVALHO,1972.1783291315944
MARIA LUCENIRA FERREIRA OLIVEIRA PIMENTEL,9424.442166237528
MARIA SOCORRO DA COSTA CONCEIÇÃO,5825.806323317729
SEBASTIAO FERREIRA DA ROCHA,23472.891067592787
WALCYR ALBERTO COSTA SANTOS,4267.395439318129
ALLAN ROSAS SALES,6150.183259145006
AMADEU FERREIRA DOS SANTOS,4297.136562523519
ANTONIO DE DEUS NUNES DOS SANTOS,13976.052020505973
CAMILO OLIVEIRA DE SOUZA,1921.2179452063356
DANIEL DOMINGOS DOS SANTOS,918.5255239899137
FATIMA LUCIA PELAES,20069.572316409474
JURANDIL DOS SANTOS JUAREZ,18463.68137512014
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,10324.310544631546
MARIA CASSILDA BARRETO DE SOUZA,434.46832134529257
MIRAELSON COUTINHO TEIXEIRA ALVES,4641.964002103932
NILTON LUIZ CABRAL TORK,4233.934387761061
SILVINO ABRANTES ALMEIDA,1514.0007950933755
VALCINETE FARIAS SANTANA,2871.2351544823823
XAVIER LEAL SIQUEIRA,2209.5427847849123
CARLOS ANTONIO OLIVEIRA SANTOS,9025.179481171894
JORGE FURTADO CORREA,2991.7566983467173
CLEYDSON SOUSA DO NASCIMENTO,1214.249809655875
JACKSON CARDOSO AMARAL,1993.7057424862412
ANDRÉ DOS SANTOS ABDON,3122.3232441449486
ANTONIO CIRILO FERNANDES BORGES,965.1568086602316
ANTONIO DA JUSTA FEIJÃO,4707.8224253232165
BIRANILSON DOS SANTOS PALMEIRA,780.4206517445746
DARLEY DOS SANTOS TEIXEIRA FURTADO,1645.6083026285305
DOMINGOS SÁVIO DE SOUZA GUERREIRO,3803.4729464530838
EDUARDO SEABRA DA COSTA,5257.765562924018
GERSON RANGEL DOS PASSOS,387.4822345768413
NELIO PEREIRA MARINHO,1058.6767152788275
RICARDO SOUZA OLIVEIRA,3928.2458581215506
SEBASTIÃO NELSON SILVA DE SOUZA,10799.85761171347
VINICIUS DE AZEVEDO GURGEL,12146.881888118045
RUSSYERIANE SILVA DE LIMA,908.9665088395349
AROLDO RABELO DA SILVA FILHO,1382.951929332849
AMARILDO PORTO ARAUJO,380.5372455878274
ROSENILDA COSTA SECCU,404.7564789306544
ALTANIRA U ALMEIDA OLIVEIRA,3366.640787484898
ANTONIO BISMAR DE LIMA CUNHA,1496.0185193727543
DARCY HUMBERTO MICHILES,37632.802621094605
FRANCISCO EDINALDO PRACIANO,215832.71483622646
JOSE HENRIQUE OLIVEIRA,81408.88233961345
MARCELO AUGUSTO DA EIRA CORREA,87928.8125449714
MARIA SOLANGE DE SOUZA QUEIROZ,1186.8766737573958
MASSAMI MIKI,30933.97175926333
NOEMIA FERNANDES LEITE,1304.3417224406712
PAULO CARLOS DE CARLI,5912.1491735895015
PAULO HERBAN MACIEL JACOB FILHO,1652.754876512636
GILBERTO VASCONCELOS DA SILVA,604.970548498844
AUGUSTO FELIPE DE CASTRO,824.331572622365
ATILA SIDNEY LINS DE ALBUQUERQUE,118011.39055869996
CARLOS ALBERTO CAVALCANTE DE SOUZA,88734.68990875213
CARLOS ALEXANDRE FERREIRA SILVA,17244.953998290788
DARLENE PEREIRA NEVES,901.8468478333102
ERONILDO BRAGA BEZERRA,92365.00678590947
FRANCISCO PLÍNIO VALÉRIO TOMAZ,71418.66379187998
LUIZ FERNANDO SARMENTO NICOLAU,85904.29936764066
MARCEL ALEXANDRE DA SILVA,106194.16943204663
PAUDERNEY TOMAZ AVELINO,179166.5232628913
RAIMUNDO SABINO CASTELO BRANCO MAUES,106560.67543444505
REBECCA MARTINS GARCIA,153704.97361848285
SILAS CAMARA,98491.0463824585
HELILTON JOSE ANDRADE SOARES,1075.3478142416186
JANDERVAL VASCONCELOS DA COSTA,2851.1251617328912
SERGIO PAULO MONTEIRO LITAIFF,1062.4081723560735
ORLANDO CAMPOS TEIXEIRA,2056.1944782231167
JOSE AUGUSTO DE SOUZA RODRIGUES,4170.86399160121
ELSON CELIO DA SILVA COSTA,1220.7989617605137
OSMAN BATISTA BARRETO,2464.441328496531
DEUSAMIR PEREIRA,4041.766768178586
ANA MARIA DOS SANTOS DE BRITO,1018.9190964267709
HOSANNAH SOUZA DE ALENCAR,1843.140060545559
NAAHBILA MOREIRA DOS SANTOS,1225.7545072190035
JOSE MARIA NASCIMENTO COSTA,2650.1029396401264
ROBERTO CARLOS RIBEIRO PEREIRA,921.2833092337593
VICTOR MONTEIRO LITAIFF,2976.167342723381
JOSÉ SÁDIO JACMINUTH DE ALCANTARA,1219.507799757376
TATIANA DOS SANTOS FERREIRA,1582.3130953517973
MARIA CLEIDE VIEIRA DA CUNHA SILVA,1078.596071130999
ANTONIO CARLOS BORGES DOS SANTOS JÚNIOR,4451.519100066157
ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO,2972445.8333906624
CLAUDIO CAJADO SAMPAIO,75942.11276081129
FABIO LOUREIRO SOUTO,61917.24419910485
FERNANDO DANTAS TORRES,81565.27446247682
GERALDO TENUTA FILHO,17894.292737314194
GERSON SILVA GABRIELLI,23421.98043412321
JORGE KHOURY HEDAYE,58542.48131178442
JOSÉ NUNES SOARES,61953.87520001436
LUIZ ANTÔNIO VASCONCELOS CARREIRA,63968.11745743251
OTÁVIO JOEL DE ARAÚJO,9481.095377799054
PAULO SÉRGIO PARANHOS DE MAGALHÃES,47323.049998935065
ANTONIO JOSE IMBASSAHY DA SILVA,74841.20883904953
CORIOLANO SOUSA SALES,5590.35766598099
GERVASIO BATISTA CAMPOS,4161.59148858878
JOÃO ALMEIDA DOS SANTOS,72214.95513870976
JUTAHY MAGALHÃES JÚNIOR,158422.61916795408
MANOEL DE MOURA VASCONCELOS,9639.955133410942
MARIVALDO BISPO DA PAIXÃO,1153.9291066812266
ROGERIO LEANDRO DE JESUS SANTOS,2245.199393550393
SAULO PEDROSA DE ALMEIDA,9915.859092845101
TEREZA CRISTINA GIFFONI VIEIRA,3563.5645172932236
ANTONIO WALDIR DOS SANTOS CONCEICAO,6523.924799050087
ARISTOTELES MAIA SAMPAIO DE OLIVEIRA PINTO,4289.765720834449
CELIA OLIVEIRA DE JESUS SACRAMENTO,4118.755287310664
CLERISTON EDUAO FERREIRA,1000.7190503592799
EDIGAR EVANGELISTA DOS ANJOS,18816.27825286913
GERALDO FRANCA DE SANTANA,2274.5537123249214
JULIANO SOUSA MATOS,9635.968696545326
LANDISVALTH DOS SANTOS LIMA,4211.774651380132
MARCOS LEONELI ESPINHEIRA,1331.9740841153473
ROSE MARIE VIANNA PRATES BASSUMA,12581.022127250064
TARCISIO GAMA MACHADO,1149.2086768120062
TSYLLA MARIA BALBINO DE CARVALHO FERREIRA,7887.227884515437
CESAR OLIVEIRA CARNEIRO,1424.3248531043869
FRANDERRAK DOS SANTOS MASCARENHAS,986.7420942287295
RAIMUNDO NONATO DANTAS,1041.7189080026924
ANTONIA MAGALHAES DA CRUZ,39315.41701550325
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,66601.7314061161
ANTONIO PIMENTEL PEREIRA,7256.319222593695
ARTHUR DE OLIVEIRA MAIA DA SILVA,73056.93075072794
BENITO DA GAMA SANTOS,45206.69159717982
CARLITO FERREIRA PEREIRA DOS SANTOS,2565.302149273193
COLBERT MARTINS DA SILVA FILHO,54332.40782159036
ERIVELTON LIMA SANTANA,74332.50000464116
EVERALDO BISPO,8655.06552906011
EZEQUIEL FLORENCIO PINHEIRO,1811.8814716362663
FRANCISCA INOCENCIA RODRIGUES,1392.1719182243817
GENEBALDO SOUZA CORREIA,18329.488650241234
GIVALDO FIUZA DE ALMEIDA,1602.813098377182
GRACA MARIA MASCARENHAS,1732.7710735985604
HERZEM GUSMAO PEREIRA,33356.997314514294
JOAO CARLOS PAOLILO BACELAR FILHO,53153.2565293023
JONATAS NUNES LOPES,508.49845010867216
JONIVAL LUCAS DA SILVA JUNIOR,30300.19453805184
JOSE ALVES ROCHA,74206.18243118247
JOSE EDUARDO DA SILVA,4206.84699011575
JOSEVALDO OLIVEIRA DOS SANTOS,1292.5282582399432
KARLUCIA CRISOSTOMO MACEDO ANTONIO,5634.209316755767
LUCIO QUADROS VIEIRA LIMA,266905.8615621476
LUIZ CARLOS BRAITT SOARES,895.6302045746359
MARCELO DE OLIVEIRA GUIMARÃES FILHO,39950.91517285226
MATEUS FERREIRA DOS SANTOS,1047.5493080789802
MAURICIO GONÇALVES TRINDADE,56230.65719640275
MILTON JOAO SOARES BARBOSA,4944.080941742908
NONATO CARVALHO LEITE,1032.1876613540744
ORLANDO COLAVOLPE,3419.387380868699
PAULO BRAGA MIRANDA,12321.885341708821
PAULO ROBERTO BRITO,685.9489557972015
PEDRO SOUZA DOS SANTOS,12044.2393669541
RONIVON DE SOUZA,2652.2375308452974
ROSANGELA LIMA ROCHA,1104.5831412039647
SANDOVAL SOUZA GUIMARÃES,13492.701844510022
SARA QUEIROZ DOS SANTOS,848.439632712768
SEGIO LUIS LACERDA BRITO,44473.321121473295
SEVERIANO ALVES DE SOUZA,25049.77390087041
VALDIR MARCELINO DOS SANTOS,1486.4838290081225
VALMIR DE FIGUEIREDO,2166.8025203105663
AGENOR RIBEIRO DE JESUS FILHO,13519.485410722196
ALMIRO AURORA DA SILVA,1219.4725697078163
ANTONIO ALBINO LEAL DA SILVA,2085.4446180358937
ANTONIO CARLOS BOSCO MASSAROLLO,9055.309069072242
ANTONIO CARLOS SILVA SANTOS,3431.5781760289183
ANTONIO JORGE RIBEIRO DE SANTANA,5635.244521104396
CHE GUEVARA ANDRADE ORNELAS,385.1132902678688
DERIVALDO JESUS DE ANDRADE,545.1463591278264
EDNILTON OLIVEIRA FERREIRA,2781.768786186146
ENIEDSON FERREIRA DOS SANTOS,1069.1160374959977
FRANCISCO DOREA MIRES,1272.2797966542523
FRANCISCO MARTINS ALENCAR,933.1267401791416
GLICERIO RAMOS,2025.7729531509124
HARRISON FREITAS DE LIMA,1217.1384728993405
IVANDOILSON SANTOS ORRICO,1263.0814460141307
IVO BARRETO DO COUTO FILHO,553.9657502282021
IVO JOSE DOS SANTOS,576.8218955490163
JACIARA ZOZIMA DE OLIVEIRA SANTANA CHAGAS PARAISO,784.2645678968653
JANIO NATAL ANDRADE BORGES,23668.83441895681
JOAO ALCIDES REIS DE FREITAS,1910.1532977069783
JOCEVAL RODRIGUES DOS SANTOS,27982.258474396484
JOSE ALVARO FRANÇA RIOS,6840.892590123275
JOÃO CARLOS SOBRAL MARTINS,1277.0844562205602
LUCIANO FRED BRAGA PENHA,26800.294827369726
MARA LUCIA PEREIRA ROLLO,508.8284286273628
MARIO CESAR DA SILVA LIMA,2181.8021520597003
NERIVALDO DO ESPIRITO SANTO DOS SANTOS,6089.355256125536
NOEL PEDREIRA DOS SANTOS,1788.6340119152055
ORLANDO BARBOSA DOS SANTOS,1659.8559090639794
RILDO SANTOS SOUZA,930.6610228862777
RIVAILTON RIBEIRO VELOSO DA SILVA,6123.833966244859
RONALDO DE CERQUEIRA,2139.6045303157534
ROQUE MENEZES DIAS,934.8840015454175
SINVAL MOTA MASCARENHAS,2305.275059523486
VALDER ANDRADE CARVALHO,328.8268831644845
JOSÉ CARLOS CINTRA,1609.678972296584
ACELINO FREITAS,37490.63992717961
ADALBERTO SOUZA GALVÃO,24961.606449824103
AFONSO BANDEIRA FLORENCE,188374.81354152915
AMAURI SANTOS TEIXEIRA,55785.681190925294
ANTONIO JAQUES COSTA DOS REIS,3214.868132292475
DOMINGOS LEONELLI NETTO,32348.841349150367
EDMO DEL REI LIMA,2239.698559514447
ELVE CARDOSO PONTES,7732.715861294451
EMILIANO JOSÉ DA SILVA FILHO,48867.07797177584
FELIX DE ALMEIDA MENDONÇA JUNIOR,140032.16400146473
GERALDO SIMÕES DE OLIVEIRA,64158.213466658715
JAIRO ALFREDO OLIVEIRA CARNEIRO,13684.995842185119
JAMAL YOUSSEF AMAD,3474.744870695449
JORGE LUIS ARAUJO COSTA,2887.7872779345093
JOSE CARLOS DE JESUS RODRIGUES,27912.66539929807
JOSE CARLOS LEAO DE ARAUJO,76650.13953050265
JOSE FRANCISCO DA SILVA,4449.705285350479
JOSEPH WALLACE FARIA BANDEIRA,28695.239974208223
JOSIAS GOMES DA SILVA,62005.85165053054
JOSÉ EDUARDO VIEIRA RIBEIRO,104396.89459195577
JOSÉ LUIZ RESSURREIÇÃO DOS SANTOS,2051.6879248228092
JOSÉ PAULO CRISÓSTOMO FERREIRA,8459.582078865027
JOÃO BATISTA OLIVEIRA SOUZA,3013.910512149015
JOÃO FELIPE DE SOUZA LEÃO,488318.85309818503
JOÃO LUIZ CORREIA ARGÔLO DOS SANTOS,49184.50271518706
JUSSARA MARCIA DO NASCIMENTO,17479.58097412098
LAZARO SILVA DE JESUS,2177.4391257616726
LUIZ ALBERTO SILVA DOS SANTOS,91080.26278705767
LUIZ SERGIO SUZARTE ALMEIDA,10972.254744113012
MARCOS ANTONIO MEDRADO,55658.196227833585
MARIA LUCIA DE SANTANA GUTEMBERG,6513.197148141171
MÁRCIO CARLOS MARINHO,124690.20554265904
MÁRIO SILVIO MENDES NEGROMONTE,182953.66139186456
NELSON VICENTE PORTELA PELLEGRINO,580255.1188068284
NILO ROSA DOS SANTOS,3866.661661388568
NIVALDO TEIXEIRA LIMA FILHO,2790.3728755744132
OZIEL ALVES DE OLIVEIRA,55787.153143428426
RAIMUNDO NONATO TANURI BENTO,4698.601834145664
ROBERTO PEREIRA DE BRITTO,52922.044555836765
RUI COSTA DOS SANTOS,592219.3769470917
SERGIO BARRADAS CARNEIRO,43595.56667417167
ULDURICO ALVES PINTO,25487.652670629715
